food1,food1_01.png,apple,りんご
food1,food1_02.png,banana,バナナ
food1,food1_03.png,blueberry,ブルーベリー
food1,food1_04.png,cherry,さくらんぼ
food1,food1_05.png,grape,ぶどう
food1,food1_06.png,kiwi,キウイ
food1,food1_07.png,lemon,レモン
food1,food1_08.png,lime,ライム
food1,food1_09.png,mango,マンゴー
food1,food1_10.png,melon,メロン
food1,food1_11.png,muscat,マスカット
food1,food1_12.png,orange,オレンジ
food1,food1_13.png,papaya,パパイヤ
food1,food1_14.png,peach,もも
food1,food1_15.png,pear,<ruby>西洋<rt>せいよう</rt>なし</ruby>
food1,food1_16.png,pineapple,パイナップル
food1,food1_17.png,strawberry,いちご
food1,food1_18.png,watermelon,すいか
food1,food1_19.png,bamboo shoot,たけのこ
food1,food1_20.png,broccoli,ブロッコリー
food1,food1_21.png,cabbage,キャベツ
food1,food1_22.png,carrot,にんじん
food1,food1_23.png,corn,とうもろこし
food1,food1_24.png,cucumber,きゅうり
food1,food1_25.png,eggplant,なず
food1,food1_26.png,green pepper,ピーマン
food1,food1_27.png,lettuce,レタス
food1,food1_28.png,onion,たまねぎ
food2,food2_01.png,parsley,パセリ
food2,food2_02.png,pea,えんどう<ruby>豆<rt>まめ<rt></ruby>
food2,food2_03.png,potato,じゃがいも
food2,food2_04.png,pumpkin,かぼちゃ
food2,food2_05.png,radish,はつかだいこん
food2,food2_06.png,sweet potato,さつまいも
food2,food2_07.png,tomato,トマト
food2,food2_08.png,French fries,フライドポテト
food2,food2_09.png,hamburger,ハンバーガー
food2,food2_10.png,pizza,ピザ
food2,food2_11.png,cheeze,チーズ
food2,food2_12.png,yogurt,ヨーグルト
food2,food2_13.png,egg,<ruby>卵<rt>たまご</rt></ruby>
food2,food2_14.png,rice ball,おにぎり
food2,food2_15.png,rice cake,<ruby>餅<rt>もち</rt></ruby>
food2,food2_16.png,sandwich,サンドイッチ
food2,food2_17.png,salad,サラダ
food2,food2_18.png,curry and　rice,カレーライス
food2,food2_19.png,noodles,<ruby>麺類<rt>めんるい</rt></ruby>
food2,food2_20.png,omelette/omelet,オムレツ
food2,food2_21.png,stew,シチュー
